school_name,Student ID,student_name,gender,grade,reading_score,math_score,School ID,type,size,budget,reading_pass_flag,math_pass_flag,pass_overall_flag,Spending,Spending Category
Figueroa High School,5115,Sarah Morrison,F,12th,84,99,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5116,James Simmons,M,10th,92,95,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5117,Gregory Horn,M,11th,83,82,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5118,Rhonda Shaw,F,12th,76,79,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5119,John Long,M,10th,96,90,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5120,Lindsay Zimmerman,F,11th,63,76,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5121,Mr. Jason West,M,10th,76,67,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5122,Peggy Watson,F,12th,92,76,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5123,Erika Berry,F,12th,88,64,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5124,Mr. Joshua Hall,M,11th,86,70,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5125,Jose Miller,M,11th,63,90,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5126,Sonya Mckee,F,10th,82,77,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5127,Lisa Ross,F,12th,78,76,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5128,Brian Porter,M,11th,72,96,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5129,Angela Bowers,F,9th,98,64,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5130,Sean Sharp,M,12th,83,98,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5131,Frank Carlson,M,10th,85,55,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5132,Joshua Ballard,M,12th,69,91,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5133,Chad Collins,M,12th,78,81,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5134,Nicole Baker,F,11th,92,71,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5135,Janet Rivera,F,12th,84,71,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5136,Regina Branch,F,12th,74,64,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5137,Matthew Gilbert,M,10th,72,75,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5138,Patrick Casey,M,10th,85,79,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5139,Sara Scott,F,10th,75,77,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5140,William King,M,9th,93,86,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5141,Julie Chan,F,11th,66,63,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5142,Evan Melendez,M,9th,69,99,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5143,Mrs. Elizabeth Mitchell,F,10th,92,74,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5144,Jaclyn Hudson,F,10th,84,79,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5145,Joseph Johnson,M,12th,72,84,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5146,Carol Holmes,F,9th,92,68,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5147,Denise Schmidt,F,12th,80,75,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5148,Robert Gonzalez,M,9th,63,55,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5149,Dr. Sarah Miller,F,11th,76,70,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5150,Darren Cochran,M,11th,64,88,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5151,Chris Mathis,M,9th,90,75,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5152,Timothy Wheeler,M,10th,84,84,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5153,Allen Snyder Jr.,M,12th,65,80,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5154,James Gaines,M,10th,87,93,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5155,Heather Foster,F,9th,83,65,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5156,Jean Weber,F,11th,73,62,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5157,Calvin Williams Jr.,M,10th,97,74,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5158,Joshua Carlson,M,9th,72,62,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5159,Kayla Valdez,F,11th,66,59,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5160,Anna Clark,F,9th,71,68,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5161,Jay Nelson,M,10th,95,91,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5162,Jeffery Ramirez,M,11th,81,86,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5163,Carmen Mcknight,F,11th,71,63,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5164,Erik Hall,M,11th,67,82,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5165,Bradley Cooper,M,10th,77,88,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5166,Timothy Malone,M,10th,77,71,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5167,Michael Romero,M,11th,87,80,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5168,Teresa Delgado,F,12th,98,58,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5169,Alex Jackson,M,11th,90,67,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5170,Mikayla Gonzalez,F,10th,76,72,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5171,Michael Zuniga,M,11th,70,60,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5172,Kelsey Williams,F,9th,78,61,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5173,Cathy Jordan,F,10th,69,61,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5174,Stephen Cox,M,10th,85,57,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5175,Christopher Bond,M,10th,63,79,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5176,Veronica Walker,F,10th,93,73,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5177,Jacob Shepard,M,12th,82,92,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5178,Steven Torres,M,10th,81,75,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5179,Dr. Tammy Shelton,F,9th,81,64,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5180,Cody Johnson,M,11th,83,86,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5181,Dan Salinas,M,11th,86,83,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5182,Deborah Smith,F,10th,92,90,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5183,James Thomas,M,11th,74,65,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5184,Lisa Howard,F,11th,85,88,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5185,Rachel Mills,F,10th,78,71,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5186,Matthew Carter,M,11th,84,68,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5187,Gregory Watkins,M,9th,73,86,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5188,Rachel Elliott,F,10th,92,95,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5189,Miss Jennifer Gibson,F,11th,66,82,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5190,Joseph Jones,M,9th,66,71,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5191,Sarah James,F,9th,84,63,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5192,Todd Phillips,M,10th,92,90,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5193,Brian Price,M,12th,91,88,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5194,Kyle Keller,M,11th,82,80,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5195,Wesley Carter,M,12th,95,94,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5196,Marilyn Brown,F,10th,86,57,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5197,Kaitlyn Wise,F,12th,73,79,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5198,Stacie Davis,F,9th,88,58,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5199,Michael Garcia,M,10th,79,76,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5200,Tina Clark,F,12th,91,65,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5201,William James,M,11th,84,93,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5202,Leslie Golden,F,9th,96,84,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5203,Mary Collins,F,12th,92,63,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5204,Keith Smith,M,12th,65,73,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5205,Randall Edwards,M,12th,91,94,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5206,Jillian Miller,F,12th,76,65,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5207,Barry Davis,M,11th,87,72,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5208,Jennifer Pearson,F,9th,75,78,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5209,Erin Andersen,F,10th,96,95,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5210,James Edwards,M,9th,71,65,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5211,Joseph Marshall,M,11th,98,92,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5212,Miss Christy Robinson,F,10th,64,58,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5213,Brian Schneider,M,12th,86,80,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5214,Jordan Griffith,M,10th,87,77,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5215,Kaitlin Ewing,F,12th,72,63,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5216,Christopher Clark,M,11th,84,83,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5217,Yvette Davidson,F,12th,84,64,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5218,Richard Mccarthy,M,9th,74,64,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5219,Gregory Freeman,M,9th,73,71,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5220,Rebecca Hughes,F,10th,91,76,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5221,Samantha Allen,F,9th,91,72,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5222,Nancy Thomas,F,9th,90,98,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5223,Margaret Garcia,F,9th,84,75,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5224,Margaret Cooper,F,12th,85,92,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5225,Samantha Sanford,F,10th,69,58,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5226,Travis Turner,M,12th,92,91,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5227,Judith Daniel,F,12th,98,74,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5228,Christopher Macdonald,M,10th,99,73,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5229,Amy Wall,F,9th,65,96,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5230,Melissa Randolph,F,12th,69,97,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5231,Randy Morgan,M,9th,64,67,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5232,Jacob Morse,M,11th,71,99,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5233,Jonathan Rangel,M,11th,83,59,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5234,Karen Bush,F,10th,89,85,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5235,Jennifer Dean,F,11th,96,60,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5236,Alexander Mcintyre,M,12th,78,82,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5237,Jennifer Moore,F,9th,87,72,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5238,Thomas Phillips,M,9th,88,66,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5239,Tony Rodriguez,M,12th,73,78,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5240,Brent Jordan,M,10th,63,59,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5241,Ashley Williams,F,10th,72,66,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5242,Kristy Robinson,F,12th,92,73,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5243,Cheryl Anderson,F,12th,81,71,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5244,Robert Martinez,M,10th,90,75,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5245,Joshua Bradford,M,9th,83,74,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5246,Jacob Jackson,M,10th,80,87,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5247,John Moss,M,11th,96,71,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5248,Michael Griffith,M,9th,92,85,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5249,Mark Wade,M,11th,96,91,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5250,Emma Peterson,F,12th,99,90,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5251,Brittany Smith,F,10th,92,71,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5252,Stacy Anderson,F,10th,97,91,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5253,Theresa Davis,F,9th,68,93,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5254,Daniel Hodges,M,10th,81,91,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5255,Charles Ortiz,M,10th,93,72,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5256,Michael Johnson,M,10th,76,72,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5257,Michelle Anderson,F,10th,77,76,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5258,Timothy Crawford,M,9th,90,82,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5259,Felicia Green,F,10th,67,63,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5260,Mr. Michael Rhodes,M,12th,85,81,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5261,Daniel Fowler,M,9th,76,56,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5262,Jennifer Richardson,F,9th,67,86,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5263,Joel Willis,M,12th,70,66,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5264,Stephanie Williams,F,10th,79,86,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5265,Shane Beck,M,9th,96,81,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5266,Danny Lawrence,M,11th,68,76,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5267,James Mckenzie,M,11th,85,99,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5268,Daniel Ellis,M,11th,99,72,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5269,Nathan Mahoney,M,11th,99,78,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5270,Jerry Yates,M,9th,92,97,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5271,Margaret Glenn,F,9th,67,98,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5272,Samantha Thompson,F,11th,96,93,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5273,Jesse Miller,M,10th,99,89,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5274,Melissa Aguilar,F,11th,85,67,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5275,Megan Olson,F,10th,71,55,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5276,Nicole Tucker,F,12th,95,91,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5277,Amber Clarke,F,11th,77,95,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5278,Steven Swanson,M,10th,90,95,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5279,Michael Lyons,M,11th,72,83,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5280,Joseph Bates,M,10th,71,80,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5281,William Ramirez,M,9th,80,66,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5282,Sylvia Harris,F,12th,81,68,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5283,David Osborne,M,10th,77,63,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5284,Amanda Koch,F,12th,68,73,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5285,Melvin Farrell,M,10th,63,86,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5286,Sheryl Castro,F,12th,82,55,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5287,Patrick Wallace,M,9th,69,58,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5288,Jesus Jennings,M,12th,98,74,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5289,Omar Reynolds,M,11th,87,62,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5290,Douglas Davis,M,10th,70,86,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5291,Henry Burns,M,12th,67,62,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5292,Deborah Huffman DDS,F,9th,70,55,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5293,Peter Coleman,M,9th,81,55,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5294,Cory Mitchell,M,11th,79,86,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5295,Sandra White,F,11th,99,96,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5296,Zachary Hodge,M,9th,98,94,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5297,Jaime Kane,M,11th,91,88,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5298,Ronald Torres Jr.,M,12th,85,78,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5299,Andrew Flynn,M,11th,80,83,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5300,Shawn Ramsey,M,11th,91,81,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5301,Michael Garcia,M,11th,68,85,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5302,Robert Walters,M,12th,96,84,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5303,Erin Johnson,F,10th,63,76,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5304,Tiffany Hayes,F,11th,75,98,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5305,Timothy Wolfe,M,11th,82,96,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5306,Ashley Moore,F,9th,80,97,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5307,Brittany Brown,F,11th,74,82,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5308,Karen Watson,F,9th,80,80,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5309,Jessica Greene,F,9th,69,67,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5310,Denise Weiss,F,11th,66,95,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5311,Brandon Moore,M,12th,66,90,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5312,Briana Mitchell,F,11th,77,87,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5313,Amanda Li,F,11th,70,82,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5314,Paul Swanson,M,11th,77,77,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5315,Susan Clark,F,10th,66,95,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5316,Morgan Cobb,F,10th,85,95,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5317,John Vance,M,11th,68,71,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5318,Eric Jones,M,9th,64,64,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5319,Anthony Beard,M,9th,96,63,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5320,Tyler Brown,M,12th,68,97,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5321,Daniel Moss,M,10th,76,68,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5322,John West,M,10th,94,82,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5323,Amanda Rios,F,10th,99,58,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5324,Emily Evans,F,9th,98,63,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5325,Jessica Hardy,F,10th,94,74,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5326,Marc Rosales,M,12th,78,63,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5327,Leslie Grimes,F,10th,69,86,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5328,Dorothy Hansen,F,9th,95,58,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5329,Sherri Murphy,F,9th,74,74,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5330,Kristin Kelly,F,11th,74,63,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5331,Stephanie Dunlap,F,10th,88,93,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5332,Margaret Burgess,F,9th,78,68,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5333,Christina Wilson,F,11th,88,63,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5334,Anna Nguyen,F,11th,88,61,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5335,Christopher Murray,M,9th,65,64,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5336,Christopher Garcia,M,10th,97,57,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5337,Michael Wood,M,9th,92,99,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5338,Seth Howard,M,10th,86,94,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5339,Robert Neal,M,9th,91,88,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5340,Douglas Rangel,M,11th,91,67,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5341,Emma Wright,F,11th,71,69,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5342,Mr. Oscar Bautista,M,10th,98,56,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5343,Margaret Garner,F,10th,85,95,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5344,Brent Pearson,M,10th,75,91,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5345,John Hudson,M,12th,69,87,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5346,Gregory Thompson,M,11th,74,68,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5347,Ralph Kelly,M,9th,93,55,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5348,Sarah Scott,F,9th,87,94,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5349,Heather Turner,F,11th,63,94,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5350,Roy Page,M,11th,99,85,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5351,Courtney Boyer,F,10th,92,73,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5352,Sarah Camacho,F,11th,63,58,1,District,2949,1884411,0,0,0,639.0,$630-644
Figueroa High School,5353,Ellen Mcgee MD,F,12th,81,82,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5354,Maurice Lee,M,11th,79,82,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5355,Glenn Wood,M,10th,77,66,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5356,Donald Becker,M,12th,85,85,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5357,Michelle Roach,F,11th,71,92,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5358,Dawn Hill,F,11th,67,94,1,District,2949,1884411,0,1,0,639.0,$630-644
Figueroa High School,5359,Ashley Stewart,F,12th,99,98,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5360,Rebecca Ellis,F,12th,72,83,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5361,Leroy Mayo,M,12th,94,90,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5362,Cynthia Franklin,F,12th,87,80,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5363,Max Gregory,M,12th,98,87,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5364,Lance Moss,M,9th,82,57,1,District,2949,1884411,1,0,0,639.0,$630-644
Figueroa High School,5365,Franklin Schwartz,M,9th,81,75,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5366,Carmen Johnson,F,12th,91,96,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5367,Angela Wolf,F,12th,81,89,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5368,Monica Brown,F,11th,91,74,1,District,2949,1884411,1,1,1,639.0,$630-644
Figueroa High School,5369,Juan Griffith,M,9th,94,59,1,District,2949,1884411,1,0,0,639.0,$630-644
